	row	fr_Jaccard	en_Jaccard	ru_Jaccard	ru_lex	ru_comp	fr_lex	fr_comp	en_lex	en_comp
S	крик	0,6	0,4	0,8	вопль, ор, клик, выкрик, вскрик, гик, гиканье, рев	возглас, визг, вопль, стон, истошный	cri, clameur, hurlement, braillement	hurlement, gémissement, rugissement, cris, exclamation, cri…, sanglot, râlement, aboiement, miaulement	shout, cry, scream, shriek, wail	yell, scream, bellow, cry, shriek, roar, whisper, mutter, bawl, laugh
A	далёкий	0,1	0	0	дальний, удалённый, отдалённый	смутный, неведомый	lointain, distant, éloigné, retiré, reculé	lointains, lointaine, lointainement, indistinct, lointaines, l'aboi, répercuté, grondement, clapottement, berceur	far, far-off, far-away, distant, remote, removed	further/far, bucko, dis-benefit, bulak, much, linguistics-based, base-man, m'bro, pactum, farther
V	красть	0,3	0	0,783	воровать, выкрадывать, похищать	воровать, украсть, обворовывать, похищать, воровство	voler, pirater, dérober	vole, émerillons, éventrer, chiper, voltiger, griffer, s'envoler, volerait, embrocher, l'égratigner	steal, filch, thieve, pilfer, purloin	thief, stolen, theft, birdbath, break-in, £2,100, burglary, joy-riding, purloin, fenby
V	понять	0,5	0,1	0,1	сообразить, осознать, осмыслить	осознавать, знать, думать, объяснять	comprendre, appréhender	deviner, apprécier, expliquer, connaître, l’expliquer, concevoir, l’exprimer, sentir, comprendre…, pressentir	understand, grasp, apprehend, comprehend, conceive	explain, appreciate, comprehend, verbalize, unders, underst, know, realise, unaffectedly, realize
V	перестать	0,5	0	0,01	прекратить, кончить	прекращать, всё	arrêter, interrompre	arrecircter, d'arrêter, arrêtât, l'arrêter, arrêta, prévenir, arrête, empêcher, évincer, arrêterait	stop, cease, quit, desist, end	halt, bum-boy, giggler, but-, phonebox, monit, start, m.o, wisht, galk
A	прошлый	0,1	0,04	0,08	предыдущий, старый, минувший, бывший	позапрошлый, минувший, предыдущий, текущий	dernier, antécédent, antérieur, précédent	premier, l'avant-dernier, second, avant-dernier, soixante-septième, siècle31, 9672, d'échelon, très-judicieux, l'anneaule	previous, foregone, preceding, antecedent	last, preceding, recent, subsequent, casenote, 1988-90, following, 1985-87, 1977–87, 1979-83
A	алый	0	0,8	0	карминовый, карминный, кумачовый, рдяный, пунцовый, пурпуровый, пурпурный, багряный, багровый		écarlate, vermeil, incarnat, nacarat, pourpre	plastronné, bouffant, liseré, d'étamine, passementé, frangée, bleu-clair, nacarat, d'écarlate, vert-bouteille	scarlet, carnation, incarnadine, vermeil, purple, crimson	crimson, yellow, pink, purple, golden-yellow, wine-red, purple-blue, red, lily-flowered, blood-red
V	исчезнуть	0,4	0,6	0,33	пропасть, утратиться	бесследно, исчезновение, пропадать, испаряться, таинственно, растворяться, пропажа, появляться, деваться, никуда	disparaître, se perdre	disparaicirctre, apparaître, disparoître, réapparaître, surgir, s'effacer, reparaître, s'atténuer, naître, prédominer	disappear, vanish, disperse	vanish, reappear, chilete, janotte, cromcruach, faele, blattern, longrock, beech-tree, mootwalk
V	защищать	0,5	0,03	0,01	охранять, предохранять, оберегать, заступаться	отстаивать, противостоять, уберегать, оберегать	défendre, protéger, sauvegarder, preserver	protéger, deacutefendre, défense, soutenir, défendrait, précautionner, prémunir, défendait, insurger, sauver	defend, protect, guard, safeguard, shield	fight, defence, undercard, super-featherweight, chadwin, challenge, super-middleweight, wormald, assert, alli
S	кусок	0,2	0	0,5	ломоть, лоскут, краюха, горбушка, ломоть, обрубок, обломок, часть		morceau, tranche, chanteau, pièce, quartier, fragment, bloc, parcelle, partie	morceaux, fragment, croûton, chanteau, lambeau, chiffon, quignon, émietta, compotier, miche	slice, chunk, hunch, patch, snippet, strip, piece, morsel, scrap	baller, braising, ciabatta, ½cm, slimcea, 350g/12oz, tea/supper, collop, croûtons, 4cm/1½in
